	number	yr	yn	year
716	890	1721-1722	628406	1721
717	874	1722-1723	628771	1722
718	824	1723-1724	629136	1723
719	844	1724-1725	629502	1724
720	831	1725-1726	629867	1725
721	848	1726-1727	630232	1726
722	932	1727-1728	630597	1727
723	974	1728-1729	630963	1728
724	909	1729-1730	631328	1729
725	826	1730-1731	631693	1730
726	784	1731-1732	632058	1731
727	845	1732-1733	632424	1732
728	870	1733-1734	632789	1733
729	797	1734-1735	633154	1734
730	770	1735-1736	633519	1735
731	808	1736-1737	633885	1736
732	859	1737-1738	634250	1737
733	881	1738-1739	634615	1738
734	847	1739-1740	634980	1739
735	803	1740-1741	635346	1740
736	765	1741-1742	635711	1741
737	752	1742-1743	636076	1742
738	703	1743-1744	636441	1743
739	696	1744-1745	636807	1744
740	730	1745-1746	637172	1745
741	668	1746-1747	637537	1746
742	614	1747-1748	637902	1747
743	667	1748-1749	638268	1748
744	757	1749-1750	638633	1749
745	733	1750-1751	638998	1750
746	673	1751-1752	639363	1751
747	740	1752-1753	639729	1752
748	753	1753-1754	640094	1753
749	728	1754-1755	640459	1754
750	705	1755-1756	640824	1755
751	674	1756-1757	641190	1756
752	717	1757-1758	641555	1757
753	814	1758-1759	641920	1758
754	827	1759-1760	642285	1759
755	736	1760-1761	642651	1760
756	748	1761-1762	643016	1761
757	809	1762-1763	643381	1762
758	852	1763-1764	643746	1763
759	861	1764-1765	644112	1764
760	853	1765-1766	644477	1765
761	873	1766-1767	644842	1766
762	900	1767-1768	645207	1767
763	867	1768-1769	645573	1768
764	826	1769-1770	645938	1769
765	774	1770-1771	646303	1770
766	894	1771-1772	646668	1771
767	966	1772-1773	647034	1772
768	844	1773-1774	647399	1773
769	853	1774-1775	647764	1774
770	1010	1775-1776	648129	1775
771	1028	1776-1777	648495	1776
772	931	1777-1778	648860	1777
773	853	1778-1779	649225	1778
774	838	1779-1780	649590	1779
775	896	1780-1781	649956	1780
776	948	1781-1782	650321	1781
777	1000	1782-1783	650686	1782
778	1028	1783-1784	651051	1783
779	969	1784-1785	651417	1784
780	902	1785-1786	651782	1785
781	879	1786-1787	652147	1786
782	855	1787-1788	652512	1787
783	851	1788-1789	652878	1788
784	888	1789-1790	653243	1789
785	905	1790-1791	653608	1790
786	858	1791-1792	653973	1791
787	916	1792-1793	654339	1792
788	937	1793-1794	654704	1793
789	743	1794-1795	655069	1794
790	699	1795-1796	655434	1795
791	848	1796-1797	655800	1796
792	833	1797-1798	656165	1797
793	783	1798-1799	656530	1798
794	832	1799-1800	656895	1799
795	774	1800-1801	657260	1800
796	752	1801-1802	657625	1801
797	852	1802-1803	657990	1802
798	840	1803-1804	658355	1803
799	864	1804-1805	658721	1804
800	877	1805-1806	659086	1805
801	724	1806-1807	659451	1806
802	587	1807-1808	659816	1807
803	610	1808-1809	660182	1808
804	585	1809-1810	660547	1809
805	872	1810-1811	660912	1810
806	670	1811-1812	661277	1811
807	162	1812-1813	661643	1812
808	145	1813-1814	662008	1813
809	108	1814-1815	662373	1814
810	153	1815-1816	662738	1815
811	165	1816-1817	663104	1816
812	158	1817-1818	663469	1817
813	122	1818-1819	663834	1818
814	91	1820-1821	664565	1820
815	97	1821-1822	664930	1821
816	107	1822-1823	665295	1822
817	100	1823-1824	665660	1823
818	92	1824-1825	666026	1824
819	99	1825-1826	666391	1825
820	90	1826-1827	666756	1826
821	84	1827-1828	667121	1827
822	85	1828-1829	667487	1828
823	80	1829-1830	667852	1829
824	89	1830-1831	668217	1830
825	84	1831-1832	668582	1831
826	67	1832-1833	668948	1832
827	64	1833-1834	669313	1833
828	68	1834-1835	669678	1834
829	69	1835-1836	670043	1835
830	68	1836-1837	670409	1836
831	72	1837-1838	670774	1837
832	83	1838-1839	671139	1838
833	73	1839-1840	671504	1839
834	54	1840-1841	671870	1840
835	69	1841-1842	672235	1841
836	75	1842-1843	672600	1842
837	63	1843-1844	672965	1843
838	77	1844-1845	673331	1844
839	66	1845-1846	673696	1845
840	53	1846-1847	674061	1846
841	62	1847-1848	674426	1847
842	66	1848-1849	674792	1848
